bond_id,issue_date,maturity_date,coupon_rate,face_value,price,current_yield,rating
37,2012-01-18,2022-11-05,0.0423,5000,5230.65,0.0404,BB
38,2012-05-06,2016-11-15,0.0763,10000,9930.41,0.0768,BB
39,2014-05-04,2027-05-23,0.0207,5000,4560.14,0.0227,A
40,2011-04-20,2023-06-14,0.051,5000,5062.3,0.0504,
41,2012-12-18,2027-02-08,0.0454,1000,1091.53,0.0416,AA
42,2011-05-26,2018-06-03,0.0528,5000,4675.3,0.0565,
43,2014-09-02,2019-04-04,0.0113,5000,5190.0,0.0109,BBB
44,2014-02-08,2023-05-21,0.071,1000,940.19,0.0755,A
45,2011-12-01,2023-07-13,0.0752,5000,5035.83,0.0747,AAA
46,2012-09-02,2027-04-21,0.0496,1000,919.34,0.054,BB
47,2014-12-12,2022-07-17,0.0588,1000,990.07,0.0594,AA
48,2010-07-09,2023-02-12,0.0746,1000,1051.23,0.071,AAA
49,2012-08-15,2023-02-18,0.0595,1000,969.51,0.0614,AAA
50,2011-11-18,2024-01-25,0.0207,5000,5164.91,0.02,A
51,2012-08-15,2026-09-11,0.0503,1000,1059.09,0.0475,A
52,2011-07-17,2017-12-10,0.0525,1000,1085.44,0.0484,BBB
53,2014-05-10,2025-11-21,0.0397,5000,4734.64,0.0419,BB
54,2013-06-21,2022-05-01,0.0616,5000,4899.32,0.0629,AAA
55,2012-04-11,2023-08-26,0.0754,10000,9304.83,0.081,BBB
56,2014-03-09,2025-04-14,0.0748,5000,5492.48,0.0681,AAA
57,2013-02-28,2022-05-12,0.0416,5000,5427.0,0.0383,BB
58,2014-02-17,2023-12-01,0.0179,10000,10079.91,0.0178,BB
59,2011-10-09,2019-03-31,0.0789,5000,5342.03,0.0738,A
60,2010-01-21,2017-11-12,0.0687,5000,5020.96,0.0684,BBB
61,2012-04-20,2020-12-19,0.0187,5000,5123.59,0.0182,AA
62,2010-06-16,2021-04-03,0.0745,5000,4589.12,0.0812,A
63,2013-07-21,2025-06-14,0.0709,10000,10510.54,0.0675,BB
64,2011-01-23,2024-04-09,0.0463,5000,4627.71,0.05,A
65,2011-08-24,2021-06-16,0.0514,5000,5326.07,0.0483,AA
66,2010-11-12,2018-04-30,0.0379,10000,10564.06,0.0359,A
67,2010-01-14,2020-09-29,0.0138,1000,1041.75,0.0132,BB
68,2010-08-30,2016-06-09,0.0335,10000,9072.32,0.0369,AA
69,2012-02-16,2018-10-25,0.0662,1000,960.63,0.0689,AAA
70,2013-10-01,2025-03-14,0.0103,10000,9526.23,0.0108,BBB
71,2011-07-19,2022-04-26,0.0333,10000,9720.27,0.0343,BB
72,2012-06-16,2016-05-16,0.0379,5000,4587.64,0.0413,AAA
73,2013-09-25,2019-03-08,0.0476,1000,1087.39,0.0438,AA
74,2010-04-02,2022-12-16,0.0744,5000,5053.8,0.0736,AAA
75,2013-10-22,2019-02-19,0.0342,1000,961.1,0.0356,AA
76,2012-08-13,2020-03-26,0.0343,10000,9793.96,0.035,A
77,2014-01-18,2022-05-02,0.0616,10000,9894.41,0.0623,BBB
78,2013-12-22,2027-03-25,0.0417,1000,1020.12,0.0409,BBB
79,2011-05-24,2021-01-13,0.0257,5000,5015.68,0.0256,A
80,2012-02-15,2019-06-01,0.0417,5000,5419.39,0.0385,AA
81,2010-02-04,2024-01-17,0.0199,5000,4996.96,0.0199,BB
82,2010-07-25,2021-01-21,0.0223,5000,5492.16,0.0203,A
83,2013-01-09,2025-08-07,0.0449,10000,10702.85,0.042,
84,2014-05-05,2028-01-20,0.0393,10000,9417.02,0.0417,A
85,2013-11-12,2019-10-13,0.074,10000,10861.19,0.0681,AAA
86,2012-10-22,2022-07-01,0.0354,10000,9232.73,0.0383,BBB
87,2012-10-18,2027-01-15,0.0506,10000,10634.9,0.0476,AA
88,2013-11-14,2026-02-07,0.0543,5000,4880.62,0.0556,BBB
89,2011-07-20,2025-05-31,0.0109,5000,5377.97,0.0101,AAA
90,2013-02-03,2023-01-23,0.0564,5000,5368.06,0.0525,AAA
91,2014-12-01,2019-12-23,0.0225,5000,5305.93,0.0212,BB
92,2014-02-09,2022-10-22,0.0773,10000,10580.06,0.0731,AA
93,2011-12-04,2022-07-08,0.0204,10000,9609.36,0.0212,BB
94,2011-02-06,2022-01-10,0.039,10000,9161.84,0.0426,AA
95,2011-12-31,2026-06-15,0.016,1000,980.6,0.0163,A
96,2014-04-29,2019-06-12,0.0798,5000,4673.52,0.0854,BBB
97,2010-06-11,2017-11-21,0.0452,5000,5194.95,0.0435,A
98,2010-07-21,2021-12-14,0.0517,10000,9692.2,0.0533,AA
99,2012-09-22,2016-11-12,0.0147,5000,5475.61,0.0134,AA
100,2010-09-27,2014-01-18,0.0625,5000,5140.97,0.0608,AAA
101,2012-03-26,2016-12-01,0.0247,10000,10644.96,0.0232,AA
102,2013-07-18,2027-06-04,0.0729,1000,926.5,0.0787,BBB
103,2011-04-01,2023-03-11,0.0244,1000,1072.4,0.0228,B
104,2014-01-25,2019-04-29,0.0233,1000,1084.55,0.0215,BB
105,2014-10-17,2021-12-10,0.0126,10000,9974.12,0.0126,BBB
106,2013-06-29,2025-02-07,0.043,5000,5106.25,0.0421,BBB
107,2012-10-13,2016-11-28,0.0495,10000,10529.62,0.047,BBB
108,2014-09-22,2019-09-19,0.0146,10000,9349.68,0.0156,AA
109,2010-10-23,2022-12-22,0.0643,5000,5002.57,0.0643,B
110,2014-10-15,2025-06-22,0.0417,1000,979.73,0.0426,BBB
111,2011-12-21,2016-10-25,0.0467,1000,929.27,0.0503,A
112,2014-11-08,2027-05-04,0.0409,10000,9735.07,0.042,AAA
113,2010-12-04,2020-10-11,0.0381,1000,913.63,0.0417,AA
114,2012-05-28,2023-07-12,0.0492,10000,9051.62,0.0544,A
115,2012-12-12,2023-07-29,0.0209,10000,9270.33,0.0225,BB
116,2012-03-02,2018-03-28,0.0227,5000,5463.12,0.0208,A
117,2010-08-05,2024-10-04,0.0703,5000,5049.53,0.0696,AA
118,2012-02-03,2019-05-23,0.0762,5000,5465.82,0.0697,
119,2010-07-07,2019-05-19,0.0361,10000,9865.0,0.0366,AAA
120,2011-01-15,2018-08-28,0.029,5000,4811.82,0.0301,AA
121,2011-05-08,2025-08-29,0.0551,1000,1001.23,0.055,AAA
122,2012-11-30,2026-06-16,0.0386,1000,987.9,0.0391,BBB
123,2013-03-26,2025-08-25,0.0118,10000,9211.33,0.0128,B
124,2010-01-15,2023-05-08,0.0209,10000,10281.65,0.0203,AA
125,2010-03-06,2019-07-18,0.0601,5000,4716.04,0.0637,BB
126,2011-06-05,2022-05-27,0.0561,10000,10239.18,0.0548,AA
127,2013-09-29,2027-07-25,0.0119,10000,10300.4,0.0116,B
128,2013-02-26,2017-10-13,0.0255,1000,930.4,0.0274,BBB
129,2011-10-10,2016-10-06,0.0262,1000,912.27,0.0287,BB
130,2014-02-04,2020-10-30,0.057,5000,5280.76,0.054,AAA
131,2012-12-22,2017-11-19,0.0114,10000,9919.6,0.0115,
132,2013-03-08,2017-04-06,0.0173,10000,9116.33,0.019,BBB
133,2014-03-03,2028-08-02,0.066,1000,1098.97,0.0601,AA
134,2011-08-16,2026-07-23,0.0225,10000,9115.56,0.0247,BB
135,2011-01-27,2020-12-02,0.0557,1000,1039.01,0.0536,AA
136,2014-08-26,2022-08-18,0.0267,5000,5483.68,0.0243,BB
137,2011-02-23,2016-02-09,0.017,1000,947.84,0.0179,AAA
138,2010-10-16,2021-05-28,0.027,10000,9284.5,0.0291,BBB
139,2011-01-14,2023-10-30,0.0606,5000,4621.38,0.0656,A
140,2014-12-02,2018-04-23,0.0699,1000,960.66,0.0728,AAA
141,2014-02-22,2025-09-27,0.0681,1000,920.21,0.074,AA
142,2010-08-19,2021-09-03,0.0378,5000,5192.16,0.0364,AAA
143,2012-10-14,2025-09-27,0.0568,5000,4562.29,0.0622,A
144,2010-02-10,2021-12-06,0.0243,1000,1001.88,0.0243,AA
145,2012-11-17,2019-01-27,0.0305,10000,10993.39,0.0277,A
146,2010-05-15,2020-07-12,0.0727,1000,1062.79,0.0684,AA
147,2010-07-20,2016-06-15,0.0109,5000,5115.22,0.0107,AA
148,2012-02-19,2021-01-13,0.016,1000,961.25,0.0166,BBB
149,2012-07-18,2023-09-16,0.0246,5000,5123.9,0.024,AAA
150,2012-11-22,2024-11-28,0.0119,5000,5027.04,0.0118,B
151,2012-12-07,2019-02-05,0.0227,10000,9852.17,0.023,BB
152,2011-05-18,2016-05-18,0.0508,5000,4630.71,0.0549,BBB
153,2011-02-11,2025-12-19,0.0395,5000,5386.6,0.0367,A
154,2014-05-17,2019-12-25,0.0725,10000,9899.57,0.0732,BB
155,2014-10-18,2024-09-29,0.0672,5000,4694.62,0.0716,AAA
156,2012-03-15,2024-04-20,0.0339,10000,9735.52,0.0348,AAA
157,2010-04-09,2022-04-22,0.0282,10000,9828.26,0.0287,AA
158,2011-11-15,2019-02-03,0.0366,5000,5327.54,0.0343,BBB
159,2011-12-27,2018-03-31,0.0513,5000,5233.61,0.049,AAA
160,2014-04-20,2025-06-29,0.0288,1000,1053.86,0.0273,A
161,2012-08-18,2022-12-20,0.0537,10000,9022.06,0.0595,
162,2014-10-29,2021-02-26,0.0387,1000,983.23,0.0394,BB
163,2011-09-05,2018-11-22,0.0486,5000,4981.34,0.0488,A
164,2014-01-25,2025-12-04,0.0405,1000,903.84,0.0448,AAA
165,2011-10-05,2021-04-16,0.0306,10000,9519.63,0.0321,BB
166,2014-11-28,2028-02-02,0.0764,1000,1052.06,0.0726,A
167,2012-10-25,2019-08-13,0.0635,10000,9274.22,0.0685,AAA
168,2013-05-26,2021-06-24,0.0198,5000,5035.31,0.0197,AAA
169,2011-05-18,2018-02-10,0.0708,5000,4715.2,0.0751,B
170,2012-02-06,2016-06-18,0.0441,10000,9024.24,0.0489,BBB
171,2011-02-02,2018-09-08,0.0726,5000,4741.2,0.0766,BB
172,2012-05-20,2016-10-11,0.066,5000,5475.87,0.0603,BB
173,2012-03-05,2026-12-24,0.0398,5000,5301.54,0.0375,A
174,2011-01-28,2017-09-12,0.0116,5000,5459.58,0.0106,A
175,2010-07-26,2016-09-22,0.0288,10000,9975.71,0.0289,AA
176,2012-11-04,2020-11-04,0.0479,1000,921.95,0.052,AA
177,2014-04-27,2025-12-01,0.0543,1000,1009.59,0.0538,AA
178,2012-06-10,2024-12-25,0.0281,5000,4954.38,0.0284,BBB
179,2014-01-24,2022-01-07,0.0198,1000,1068.87,0.0185,A
180,2014-09-11,2025-09-11,0.0684,1000,919.62,0.0744,BB
181,2014-05-18,2023-06-09,0.0789,5000,4988.24,0.0791,AA
182,2012-05-13,2026-10-28,0.0468,5000,4650.05,0.0503,A
183,2012-01-13,2016-12-25,0.022,1000,964.94,0.0228,A
184,2013-06-18,2026-04-28,0.0291,10000,10474.71,0.0278,A
185,2011-07-18,2025-11-10,0.0113,5000,4976.02,0.0114,BBB
186,2012-10-17,2025-06-08,0.074,10000,9751.78,0.0759,AA
187,2010-04-06,2024-12-11,0.0182,1000,978.9,0.0186,A
188,2014-10-24,2021-03-19,0.0504,5000,4959.45,0.0508,AAA
189,2011-04-30,2024-06-24,0.0292,10000,10570.03,0.0276,AA
190,2013-12-01,2019-11-16,0.0488,5000,5392.08,0.0453,A
191,2010-08-19,2014-11-16,0.0556,1000,1091.07,0.051,BBB
192,2012-01-19,2017-06-30,0.0681,10000,10573.81,0.0644,
193,2014-08-06,2021-05-20,0.0244,1000,963.08,0.0253,A
194,2013-04-09,2021-08-18,0.0108,1000,1037.63,0.0104,BBB
195,2011-06-25,2022-11-21,0.0196,5000,4937.6,0.0198,A
196,2012-11-25,2021-05-13,0.073,10000,9509.34,0.0768,A
197,2011-06-09,2026-03-02,0.0712,1000,1068.17,0.0667,AAA
198,2013-03-29,2017-08-14,0.0518,1000,907.69,0.0571,AA
199,2014-09-19,2021-01-14,0.052,10000,10803.52,0.0481,AA
200,2013-06-20,2020-08-28,0.0566,1000,992.3,0.057,A
201,2013-01-14,2025-06-15,0.0223,1000,1027.44,0.0217,AAA
202,2014-12-25,2020-03-26,0.074,10000,10318.71,0.0717,AAA
203,2011-08-01,2017-02-13,0.0393,10000,10790.24,0.0364,AA
204,2011-11-13,2015-03-25,0.0368,10000,10273.34,0.0358,
205,2011-07-11,2020-04-14,0.0463,10000,10227.87,0.0453,AA
206,2014-05-17,2027-04-21,0.0133,5000,4566.65,0.0146,A
207,2012-10-09,2020-11-03,0.0216,10000,10036.82,0.0215,AAA
208,2011-10-08,2026-03-13,0.0617,5000,4650.17,0.0663,A
209,2012-03-06,2023-03-17,0.0158,5000,5237.43,0.0151,AA
210,2012-11-17,2024-11-13,0.0522,5000,5012.22,0.0521,AA
211,2014-07-02,2029-04-07,0.0272,1000,1036.05,0.0263,A
212,2014-04-29,2025-01-07,0.0373,5000,4541.67,0.0411,AAA
213,2013-09-25,2020-02-26,0.0302,5000,4584.79,0.0329,AAA
214,2014-12-27,2027-08-08,0.0349,1000,1043.26,0.0335,AA
215,2013-09-16,2020-02-23,0.0603,1000,914.42,0.0659,AAA
216,2014-07-22,2026-10-18,0.0308,1000,914.25,0.0337,AAA
217,2014-03-10,2026-09-24,0.0496,10000,9024.22,0.055,AA
218,2013-10-03,2026-07-26,0.0433,1000,1091.3,0.0397,BB
219,2014-02-05,2020-12-01,0.0565,1000,1047.5,0.0539,A
220,2013-06-08,2026-05-23,0.0756,5000,4853.25,0.0779,A
221,2010-07-09,2022-08-20,0.0613,1000,959.31,0.0639,AA
222,2013-06-02,2023-10-26,0.025,10000,9699.41,0.0258,B
223,2013-11-09,2018-02-21,0.0122,1000,1054.93,0.0116,AA
224,2013-11-01,2020-07-15,0.0284,10000,10322.74,0.0275,AAA
225,2013-07-30,2024-03-12,0.0517,1000,937.04,0.0552,A
226,2011-09-25,2022-06-25,0.0136,1000,934.82,0.0145,AAA
227,2011-09-20,2015-09-11,0.0447,1000,919.68,0.0486,AA
228,2012-08-30,2023-12-05,0.0518,1000,1032.06,0.0502,A
229,2014-11-04,2019-09-01,0.0334,10000,10528.75,0.0317,BB
230,2013-07-06,2019-08-24,0.064,10000,9530.09,0.0672,A
231,2013-10-14,2028-03-29,0.0175,5000,4520.94,0.0194,BBB
232,2011-12-11,2025-02-14,0.0153,10000,9164.34,0.0167,
233,2014-01-19,2024-07-25,0.061,1000,1093.57,0.0558,AAA
234,2013-12-05,2018-05-27,0.0447,5000,4795.44,0.0466,AA
235,2011-10-11,2022-05-20,0.0582,5000,5269.22,0.0552,AA
236,2010-11-14,2025-03-11,0.0404,5000,5124.66,0.0394,AA
237,2014-08-28,2027-12-28,0.0272,1000,976.39,0.0279,AA
238,2013-06-02,2023-04-14,0.0673,10000,9411.37,0.0715,B
239,2013-06-11,2024-01-19,0.066,1000,924.28,0.0714,BBB
240,2011-11-15,2017-05-26,0.0586,5000,5115.01,0.0573,A
241,2011-10-26,2022-11-28,0.0291,1000,1054.93,0.0276,AA
242,2013-10-29,2021-02-25,0.0513,1000,1028.78,0.0499,BB
243,2014-08-23,2026-09-28,0.0353,10000,10060.6,0.0351,
244,2014-06-20,2018-03-01,0.0164,10000,9083.9,0.0181,BB
245,2014-02-04,2022-02-15,0.0742,5000,5468.49,0.0678,AAA
246,2013-06-10,2021-10-05,0.0196,1000,1059.74,0.0185,A
247,2014-09-12,2017-09-20,0.0765,1000,958.56,0.0798,AAA
248,2013-02-10,2023-12-21,0.0412,10000,10959.94,0.0376,AA
249,2014-03-01,2019-05-06,0.023,1000,1020.38,0.0225,AAA
250,2011-03-18,2016-12-26,0.0479,1000,1016.48,0.0471,A
251,2011-07-18,2019-07-15,0.0711,1000,1049.61,0.0677,BBB
252,2013-07-15,2025-02-13,0.0613,10000,10623.54,0.0577,AAA
253,2014-03-14,2023-03-15,0.0665,5000,5156.48,0.0645,AA
254,2013-11-10,2017-06-20,0.0561,5000,4628.1,0.0606,A
255,2013-11-11,2028-03-30,0.0585,1000,967.65,0.0605,AA
256,2013-02-10,2026-11-09,0.0694,5000,5428.08,0.0639,AAA
257,2014-06-25,2028-06-06,0.0275,10000,9449.23,0.0291,AA
258,2014-07-07,2021-12-25,0.0443,10000,9744.33,0.0455,BBB
259,2012-08-09,2021-06-30,0.0255,5000,4932.08,0.0259,AAA
260,2013-01-09,2017-06-02,0.0791,5000,4939.4,0.0801,AAA
261,2011-11-30,2015-12-18,0.0761,1000,1022.59,0.0744,AA
262,2010-04-23,2014-05-31,0.0128,5000,5443.08,0.0118,B
263,2010-01-02,2018-06-24,0.0594,1000,948.14,0.0626,BBB
264,2011-10-04,2022-04-20,0.0748,1000,924.3,0.0809,BBB
265,2010-08-08,2018-03-02,0.0226,10000,9394.94,0.0241,AA
266,2014-05-09,2021-05-07,0.0498,10000,10773.85,0.0462,A
267,2012-05-04,2025-04-17,0.0741,10000,10291.62,0.072,AAA
268,2014-10-26,2025-04-10,0.0124,10000,9571.81,0.013,A
269,2013-06-02,2027-11-09,0.0588,5000,5315.95,0.0553,B
270,2011-01-20,2019-08-29,0.0308,10000,10722.74,0.0287,A
271,2013-11-27,2028-04-03,0.0747,5000,5346.51,0.0699,BB
272,2014-07-20,2019-07-05,0.078,10000,10837.85,0.072,BBB
273,2013-02-27,2021-02-23,0.0761,5000,4752.24,0.0801,AAA
274,2012-12-12,2021-08-23,0.0432,1000,1051.01,0.0411,B
275,2014-09-04,2027-01-13,0.0703,5000,4960.54,0.0709,AAA
276,2011-12-31,2019-04-22,0.0691,5000,5342.0,0.0647,A
277,2014-08-23,2018-04-28,0.0323,10000,10456.98,0.0309,AAA
278,2014-09-30,2019-08-03,0.068,5000,5276.45,0.0644,AAA
279,2013-12-10,2022-11-13,0.0126,1000,1031.23,0.0122,AA
280,2010-09-04,2015-10-13,0.0517,1000,935.49,0.0553,AA
281,2012-04-15,2026-02-18,0.0261,10000,10090.05,0.0259,A
282,2014-01-02,2028-12-12,0.0184,1000,1096.93,0.0168,A
283,2010-07-22,2018-12-26,0.0154,5000,5437.39,0.0142,AAA
284,2013-04-22,2019-04-03,0.0587,1000,908.63,0.0646,AAA
285,2010-05-03,2013-12-23,0.0338,10000,9329.63,0.0362,A
286,2011-02-05,2015-02-27,0.0607,5000,4631.73,0.0655,AA
287,2012-02-06,2023-05-31,0.0146,10000,10451.96,0.014,BBB
288,2010-10-21,2018-11-11,0.0321,5000,5317.79,0.0302,BBB
289,2010-10-07,2021-06-20,0.0478,1000,942.7,0.0507,BB
290,2012-06-02,2024-08-27,0.0654,10000,10011.71,0.0653,BBB
291,2014-06-22,2026-06-12,0.0323,10000,10681.41,0.0302,AA
292,2010-07-17,2016-12-19,0.0538,5000,5232.8,0.0514,BBB
293,2012-09-08,2026-08-02,0.072,10000,10084.47,0.0714,AA
294,2014-03-15,2023-01-04,0.0531,5000,5090.35,0.0522,AA
295,2012-01-22,2020-12-10,0.0263,5000,5008.36,0.0263,BBB
296,2010-05-24,2017-01-11,0.0117,5000,4797.55,0.0122,AA
297,2011-09-01,2018-05-20,0.0709,5000,5065.02,0.07,BBB
298,2013-05-09,2023-02-23,0.0115,1000,1037.78,0.0111,BB
299,2013-02-21,2021-08-30,0.0712,5000,5373.32,0.0663,BB
300,2010-07-06,2017-02-25,0.047,10000,10272.58,0.0458,B
301,2013-09-11,2028-08-02,0.0757,1000,1052.22,0.0719,AA
302,2011-04-09,2025-12-07,0.0659,10000,9320.14,0.0707,AA
303,2013-10-04,2020-06-22,0.0799,1000,992.31,0.0805,A
304,2014-11-30,2026-08-11,0.0345,5000,4509.33,0.0383,AA
305,2011-10-22,2020-08-18,0.0637,1000,949.34,0.0671,A
306,2012-02-03,2021-01-21,0.0381,1000,1045.29,0.0364,BBB
307,2012-08-12,2015-12-27,0.0436,10000,10983.62,0.0397,BBB
308,2011-02-07,2023-08-10,0.0539,10000,9198.36,0.0586,AA
309,2013-10-01,2024-07-02,0.0712,5000,4901.49,0.0726,AAA
310,2014-03-15,2026-12-31,0.0789,1000,1060.01,0.0744,AA
311,2010-05-27,2021-09-12,0.0638,1000,940.81,0.0678,AAA
312,2013-03-17,2027-08-10,0.0392,1000,1011.02,0.0388,BB
313,2012-05-13,2022-06-18,0.0395,5000,5233.07,0.0377,AA
314,2014-10-01,2029-07-09,0.0616,5000,5115.99,0.0602,AAA
315,2011-05-04,2024-10-15,0.0267,5000,4688.02,0.0285,AAA
316,2012-07-17,2026-11-14,0.0177,5000,4855.38,0.0182,A
317,2014-07-22,2028-01-08,0.0348,5000,5283.79,0.0329,A
318,2011-07-05,2025-07-28,0.0301,10000,10108.45,0.0298,AA
319,2010-12-04,2019-02-21,0.0307,1000,901.05,0.0341,AAA
320,2012-05-21,2017-06-19,0.0264,1000,1052.2,0.0251,AA
321,2011-10-03,2024-03-08,0.0129,1000,907.06,0.0142,AA
322,2014-12-08,2020-05-24,0.0113,1000,1049.15,0.0108,BBB
323,2011-04-18,2022-05-12,0.0791,1000,940.5,0.0841,A
324,2010-05-31,2018-02-12,0.0399,1000,1091.61,0.0366,AA
325,2013-12-09,2017-09-14,0.0369,1000,973.59,0.0379,AA
326,2013-08-14,2025-07-23,0.0576,1000,965.39,0.0597,
327,2014-06-23,2022-08-22,0.0253,10000,9297.78,0.0272,A
328,2010-09-20,2022-08-29,0.0765,1000,961.12,0.0796,BBB
329,2014-11-23,2019-09-19,0.065,10000,10753.3,0.0604,AAA
330,2010-05-24,2024-11-09,0.0163,5000,5496.33,0.0148,A
331,2010-12-12,2015-10-13,0.0392,1000,973.66,0.0403,AAA
332,2011-09-16,2020-02-05,0.0715,5000,4948.61,0.0722,A
333,2012-10-13,2027-02-28,0.0761,5000,5222.07,0.0729,
334,2014-05-15,2025-11-30,0.0427,5000,5386.2,0.0396,AA
335,2012-05-30,2026-02-01,0.0529,10000,10186.09,0.0519,AAA
336,2010-01-02,2014-06-08,0.0217,5000,4891.53,0.0222,AAA
337,2012-06-15,2022-01-02,0.0794,5000,4912.62,0.0808,AA
338,2013-08-20,2025-03-02,0.0262,5000,5195.62,0.0252,AAA
339,2010-09-11,2020-10-16,0.076,1000,900.64,0.0844,AAA
340,2014-08-03,2022-12-22,0.0555,1000,1023.92,0.0542,BBB
341,2011-03-29,2019-01-14,0.0525,10000,9710.99,0.0541,A
342,2012-11-26,2022-03-10,0.0459,10000,10588.39,0.0433,AA
343,2013-03-29,2022-06-06,0.0261,1000,918.6,0.0284,B
344,2012-10-11,2022-01-13,0.0224,10000,10176.4,0.022,AAA
345,2010-01-09,2024-07-11,0.0254,1000,996.19,0.0255,
346,2013-06-10,2024-04-26,0.0231,5000,5142.33,0.0225,AA
347,2013-01-27,2027-06-01,0.0646,5000,4564.85,0.0708,BB
348,2014-08-10,2027-08-01,0.0345,10000,10159.97,0.034,A
349,2012-03-26,2020-11-09,0.014,1000,1012.3,0.0138,BB
350,2010-07-27,2017-01-22,0.0778,1000,1012.13,0.0769,
351,2013-02-28,2023-09-25,0.0719,10000,10206.98,0.0704,AA
352,2011-02-08,2014-12-06,0.0749,1000,1035.29,0.0723,
353,2010-06-01,2015-02-28,0.0796,5000,5304.99,0.075,AA
354,2010-02-23,2013-04-18,0.0222,10000,9539.64,0.0233,AA
355,2013-02-17,2017-07-26,0.0377,10000,10650.1,0.0354,AA
356,2014-08-24,2028-12-06,0.0631,1000,999.65,0.0631,A
357,2011-09-20,2020-07-14,0.0587,10000,9154.12,0.0641,AAA
358,2011-08-10,2023-08-09,0.0208,1000,911.71,0.0228,A
359,2014-07-07,2018-07-05,0.0671,1000,966.85,0.0694,A
360,2013-12-14,2021-06-16,0.0257,1000,1056.98,0.0243,BBB
361,2013-12-16,2019-06-21,0.0257,1000,1041.54,0.0247,BB
362,2010-04-14,2020-12-09,0.0476,1000,1057.72,0.045,AA
363,2010-09-11,2017-11-19,0.0515,10000,10034.54,0.0513,AA
364,2013-06-04,2025-07-31,0.0506,5000,4940.2,0.0512,AA
365,2013-02-09,2021-04-29,0.0164,5000,4647.45,0.0176,AAA
366,2011-05-25,2022-11-04,0.0714,10000,9656.39,0.0739,AAA
367,2014-02-05,2022-10-11,0.0286,10000,9868.04,0.029,AA
368,2010-04-09,2015-03-22,0.0191,5000,4588.6,0.0208,AA
369,2010-06-02,2016-04-28,0.0722,5000,4720.61,0.0765,
370,2012-07-02,2020-11-28,0.0769,5000,5098.23,0.0754,A
371,2012-05-27,2018-12-13,0.0703,5000,5235.66,0.0671,AA
372,2010-12-04,2014-04-07,0.0667,5000,5498.35,0.0607,A
373,2014-09-26,2027-07-31,0.0559,1000,1086.62,0.0514,AAA
374,2012-04-01,2024-03-27,0.0486,10000,10285.13,0.0473,AA
375,2013-04-01,2020-08-20,0.0161,1000,984.25,0.0164,A
376,2014-10-10,2017-12-14,0.0386,5000,5136.18,0.0376,A
377,2012-08-14,2016-04-02,0.0361,5000,5285.65,0.0341,AA
378,2014-09-01,2023-07-27,0.0282,5000,4618.34,0.0305,
379,2010-06-10,2016-08-21,0.0606,1000,981.98,0.0617,BB
380,2014-05-23,2023-04-19,0.0447,1000,1067.96,0.0419,A
